пт сент. 24 2021,"3, х х х, 0"
EMG,GSR(Om),HR
4,0
0,0
0,0
0,0
3084,0
1208,0
516,0
1,0
0,0
3,0
117,0
1402,0
766,0
98,20460000.0
0,0
0,0
3077,0
1070,0
399,0
0,20460000.0
0,0
445,0
1406,0
707,0
55,0
0,0
0,20460000.0
2695,0
1356,0
659,0
58,0
0,0
0,0
2395,0
1342,0
735,0
173,0
0,0
0,0
0,0
2825,0
1359,0
650,0
6,0
0,0
0,20460000.0
0,0
1680,0
994,0
325,0
0,0
1,0
3000,0
1132,0
381,0
1,0
0,0
0,0
1468,0
780,0
195,0
0,0
0,0
167,0
1373,0
747,0
176,0
0,0
0,0
3,0
1450,0
947,0
487,0
14,0
0,0
0,0
0,0
1363,0
775,0
265,0
0,0
0,0
0,0
1061,0
367,0
0,0
0,20460000.0
2416,0
1237,0
640,0
84,20460000.0
0,0
1171,0
712,0
88,0
0,0
0,0
0,0
694,0
972,0
436,0
2,0
0,0
0,0
1382,0
785,0
0,0
1389,0
772,0
65,0
8,0
0,0
0,0
1316,0
905,0
366,0
3,0
0,0
0,0
979,0
1100,0
687,0
266,0
0,0
0,0
1097,0
750,0
265,0
1,0
1,20460000.0
1325,20460000.0
770,0
392,0
56,0
0,0
623,0
334,0
53,0
0,0
46,0
1140,0
826,0
619,0
351,0
180,0
186,0
1133,0
1020,0
584,0
428,0
478,0
1359,0
1112,0
811,0
655,0
633,0
2420,0
1561,0
1246,0
899,0
706,0
622,0
1861,0
1628,20460000.0
1365,0
1062,0
827,0
719,0
645,0
1907,0
1621,0
1338,0
1025,0
811,0
668,0
2001,0
1654,0
1342,0
979,0
643,0
462,0
3001,0
1439,0
905,0
475,0
227,0
1623,0
1236,0
777,0
317,0
34,0
1426,0
1047,0
647,0
243,0
0,0
1,0
2178,0
1124,0
735,0
284,0
0,0
0,0
0,0
868,0
542,0
196,0
0,0
1,0
0,0
707,0
230,0
0,0
0,0
0,0
560,0
146,0
2,0
0,0
1,0
93,0
470,0
61,0
0,0
0,0
0,0
529,0
179,0
0,0
0,0
0,0
0,0
545,0
298,0
14,0
0,0
0,0
0,0
679,0
474,0
229,0
0,0
0,0
0,0
539,0
407,0
189,0
1,0
0,0
31,0
476,0
328,0
150,0
0,0
0,0
648,0
398,0
233,0
52,0
0,0
0,0
463,0
340,0
137,0
3,20460000.0
0,0
610,0
383,0
209,20460000.0
38,0
0,0
0,0
441,0
337,0
172,0
8,0
0,0
0,0
430,0
306,0
161,0
24,0
0,0
309,0
200,0
90,0
24,0
1,0
444,0
347,0
209,0
61,0
0,0
0,0
354,0
233,0
48,0
0,0
0,0
333,0
207,0
55,0
0,0
0,0
346,0
207,20460000.0
56,0
0,0
0,0
516,0
222,20460000.0
63,0
0,0
0,0
0,0
260,0
155,0
48,0
0,0
1,20460000.0
0,0
335,0
211,0
80,0
0,0
0,0
0,0
284,5100000.0
178,0
22,0
0,0
0,0
558,0
252,0
152,0
45,0
0,0
332,0
290,0
200,0
115,0
69,0
51,0
66,0
365,0
305,0
226,0
144,0
107,0
93,0
406,0
339,0
241,0
146,0
120,0
415,0
344,0
224,0
150,0
142,0
559,0
393,0
324,0
237,0
200,0
255,0
485,0
437,0
350,0
286,0
260,0
251,0
566,0
515,0
444,0
357,0
298,0
294,0
714,0
558,0
469,0
369,0
327,0
716,0
566,0
494,0
390,0
339,0
368,0
576,0
501,0
397,0
344,0
327,0
586,0
523,0
444,0
353,0
315,0
365,20460000.0
584,0
539,0
463,0
361,0
297,0
279,0
584,0
493,0
404,0
314,0
249,0
229,0
483,0
421,0
316,0
228,0
204,0
465,0
388,0
302,0
234,0
204,0
230,0
472,0
426,0
361,0
280,0
238,0
241,0
515,0
473,0
371,0
311,0
290,0
327,20460000.0
568,0
